file,format,sample_rate,channels,duration_sec,integrated_lufs,momentary_max_lufs,residual_dc_offset,silence_ratio
1.m4a,.m4a,48000,1,29.5,-18.12,-12.59,-1.26e-05,0.4772
2.m4a,.m4a,48000,1,30.4,-18.58,-14.16,4.4e-06,0.4765
3.m4a,.m4a,48000,1,35.63,-17.33,-11.76,-2.4e-06,0.4832
4.m4a,.m4a,48000,1,28.12,-17.63,-13.13,3e-07,0.4579
5.m4a,.m4a,48000,1,29.06,-18.28,-12.97,-2.3e-06,0.3642
6.m4a,.m4a,48000,1,23.62,-18.12,-13.97,-1.1e-05,0.369
7.m4a,.m4a,48000,1,31.08,-18.35,-13.32,5.8e-06,0.4386
8.m4a,.m4a,48000,1,25.43,-17.76,-12.94,9.6e-06,0.4425
9.m4a,.m4a,48000,1,29.67,-17.26,-12.07,-6.2e-06,0.5158
10.m4a,.m4a,48000,1,27.54,-18.29,-12.71,1.74e-05,0.3552
11.m4a,.m4a,48000,1,26.69,-21.01,-15.57,8.2e-06,0.4812
12.m4a,.m4a,48000,1,33.92,-19.13,-14.05,1.97e-05,0.4903
13.m4a,.m4a,48000,1,36.27,-19.78,-15.2,-2.2e-06,0.3691
14.m4a,.m4a,48000,1,41.6,-18.69,-13.55,2.2e-06,0.4151
15.m4a,.m4a,48000,1,44.5,-18.4,-13.81,7e-06,0.4413
16.m4a,.m4a,48000,1,25.9,-16.44,-12.29,-3.25e-05,0.4736
17.m4a,.m4a,48000,1,28.67,-18.03,-13.35,-1.97e-05,0.6008
18.m4a,.m4a,48000,1,31.49,-17.57,-11.02,3.5e-05,0.6514
19.m4a,.m4a,48000,1,30.04,-17.8,-13.09,2.89e-05,0.4972
20.m4a,.m4a,48000,1,24.47,-17.03,-11.9,2.54e-05,0.4738
21.m4a,.m4a,48000,1,25.11,-16.97,-12.48,0.0,0.5548
22.m4a,.m4a,48000,1,23.59,-16.75,-10.69,1.05e-05,0.575
24.m4a,.m4a,48000,1,32.0,-17.33,-12.07,-3.57e-05,0.4363
25.m4a,.m4a,48000,1,32.0,-17.73,-13.19,1.87e-05,0.338
26.m4a,.m4a,48000,1,34.86,-17.43,-12.78,-9.04e-05,0.4982
27.m4a,.m4a,48000,1,37.48,-18.19,-12.41,-1.91e-05,0.4223
29.m4a,.m4a,48000,1,37.91,-17.96,-12.6,5.1e-06,0.4333
30.m4a,.m4a,48000,1,37.59,-17.81,-11.87,-4.4e-06,0.4103
31.m4a,.m4a,48000,1,30.87,-17.63,-12.95,-8.1e-06,0.4091
32.m4a,.m4a,48000,1,33.02,-16.79,-12.59,6.2e-06,0.4448
33.m4a,.m4a,48000,1,35.46,-17.62,-12.51,-6e-06,0.4374
34.m4a,.m4a,48000,1,28.74,-17.38,-12.61,-1.13e-05,0.4128
35.m4a,.m4a,48000,1,37.87,-17.75,-12.66,4e-06,0.4406
36.m4a,.m4a,48000,1,31.13,-17.38,-11.31,-2.4e-06,0.463
37.m4a,.m4a,48000,1,26.77,-17.99,-13.01,8e-07,0.3518
38.m4a,.m4a,48000,1,26.41,-17.28,-12.54,-4.8e-06,0.4257
39.m4a,.m4a,48000,1,22.55,-17.11,-12.49,9.5e-06,0.3581
40.m4a,.m4a,48000,1,28.67,-15.87,-11.82,4.9e-06,0.4688
41.m4a,.m4a,48000,1,33.45,-17.05,-11.89,-3.5e-06,0.4971
42.m4a,.m4a,48000,1,25.6,-17.24,-12.64,-5.4e-06,0.4521
43.m4a,.m4a,48000,1,26.97,-16.38,-11.3,-2.2e-06,0.3995
44.m4a,.m4a,48000,1,23.91,-16.26,-11.82,-6.6e-06,0.3733
45.m4a,.m4a,48000,1,33.13,-16.31,-11.42,4e-07,0.5109
46.m4a,.m4a,48000,1,26.75,-17.12,-10.89,3e-07,0.4653
47.m4a,.m4a,48000,1,25.88,-17.02,-12.47,-6.1e-06,0.4509
48.m4a,.m4a,48000,1,29.8,-16.95,-11.42,-2.7e-06,0.4531
49.m4a,.m4a,48000,1,29.72,-17.2,-12.3,3.6e-06,0.4139
50.m4a,.m4a,48000,1,27.41,-16.67,-12.68,9.6e-06,0.3549
51.m4a,.m4a,48000,1,31.98,-16.49,-11.64,-3.7e-06,0.4146
52.mp3,.mp3,48000,1,18.56,-22.53,-18.12,-5.4e-05,0.334
53.mp3,.mp3,48000,1,19.27,-22.74,-18.31,-2.5e-05,0.3308
54.mp3,.mp3,48000,1,17.8,-21.32,-15.96,-3.13e-05,0.3149
55.mp3,.mp3,48000,1,17.88,-22.46,-17.05,-6.2e-06,0.3186
56.mp3,.mp3,48000,1,22.93,-21.86,-16.68,-9.6e-06,0.2583
57.mp3,.mp3,48000,1,24.47,-21.88,-17.68,-1.11e-05,0.262
58.mp3,.mp3,48000,1,25.34,-22.52,-18.07,-3.92e-05,0.27
59.mp3,.mp3,48000,1,22.9,-22.35,-16.99,1.68e-05,0.2509
60.mp3,.mp3,48000,1,24.58,-21.45,-16.81,-4.06e-05,0.2323
61.mp3,.mp3,48000,1,29.74,-21.78,-18.26,-0.0001204,0.2071
62.mp3,.mp3,48000,1,25.0,-21.59,-17.49,-3.51e-05,0.2133
